 CURRENCY,NAME,UNITS PER INR,UNITS PER INR,UNITS PER INR,UNITS PER INR,UNITS PER INR,UNITS PER INR,UNITS PER INR,UNITS PER INR
GIP,Gibraltar Pound,0.013269725,0.014330054,0.012140682,0.011222328,0.009757331,0.010162721,0.010240258,0.01192614
XPT,Platinum Ounce,1.46648E-05,1.26553E-05,1.35665E-05,1.18483E-05,1.17693E-05,1.30923E-05,0.000016949,1.63059E-05
MDL,Moldovan Leu,0.262497325,0.269932881,0.220033922,0.221003048,0.209343871,0.247059266,0.297422442,0.292179501
CUP,Cuban Peso,0.568547515,0.592841153,0.499434589,0.483542742,0.428221737,0.419540405,0.400090587,0.389965094
KHR,Cambodian Riel,89.44489894,90.15659801,75.76328488,72.98758362,64.7988365,64.46242408,61.37299993,58.72138395
MKD,Macedonian Denar,0.913913929,1.039597325,0.891443611,0.861209532,0.720382107,0.801159527,0.853728292,0.856010145
VUV,Ni-Vanuatu Vatu,2.096760143,2.047427183,1.744251803,1.662215353,1.540790265,1.582379706,1.697044679,1.643739617
ANG,Dutch Guilder,0.038404163,0.040022371,0.03298153,0.032661954,0.028642379,0.028338778,0.027024987,0.026046725
SZL,Swazi Lilangeni,0.158528209,0.148322145,0.15228326,0.154355359,0.169187597,0.183080717,0.234230397,0.20203812
CVE,Cape Verdean Escudo,1.587576588,1.855704598,1.601017617,1.519546453,1.274161636,1.425753138,1.533930604,1.543378794
SRD,Surinamese Dollar,0.058892241,0.060626398,0.061251412,0.059751741,0.05251776,0.052232662,0.060384993,0.108160129
SVC,Salvadoran Colon,0.187727953,0.195749437,0.164907647,0.159660339,0.14139397,0.138527492,0.132105382,0.12876206
XPD,Palladium Ounce,5.29744E-05,2.80607E-05,2.89729E-05,2.59003E-05,2.25689E-05,1.98856E-05,2.68166E-05,2.15973E-05
BSD,Bahamian Dollar,0.021454623,0.022371364,0.018846588,0.018246896,0.016159311,0.015831713,0.015097758,0.014715664
XDR,IMF Special Drawing Rights,0.013685496,0.014526532,0.012275782,0.011861393,0.010488201,0.010950004,0.010908887,0.010946453
RWF,Rwandan Franc,12.25561469,13.0872481,11.21372003,11.52155392,10.8752162,10.90766582,11.29226476,11.943969
AWG,Aruban or Dutch Guilder,0.038403776,0.040044742,0.033735393,0.032661944,0.028925166,0.028338767,0.027024987,0.026341039
BTN,Bhutanese Ngultrum,1,1,1,1,1,1,1,1
DJF,Djiboutian Franc,3.487608021,3.931767271,3.289672042,3.266539683,2.843230694,2.81828454,2.681900343,2.613502006
KMF,Comorian Franc,7.36385566,8.219252265,7.154806413,6.798924153,5.784703228,6.437975335,6.840420314,6.881921858
ERN,Eritrean Nakfa,0.321819348,0.335570464,0.282698824,0.275528111,0.169187938,0.165757994,0.158073483,0.224855341
FKP,Falkland Island Pound,0.013269725,0.014330054,0.012140682,0.011222328,0.009757331,0.010162721,0.010240258,0.01192614
SHP,Saint Helenian Pound,0.013269725,0.014330054,0.012140682,0.011222328,0.009757331,0.010162721,0.010240258,0.01192614
SPL,Seborgan Luigino,0.003575771,0.003728561,0.003141098,0.003041149,0.002693219,0.002638619,0.002516293,0.002452611
WST,Samoan Tala,0.054997755,0.053265155,0.045744146,0.041329323,0.037950472,0.038566902,0.040716716,0.038858369
JEP,Jersey Pound,0.013269725,0.014330054,0.012140682,0.011222328,0.009757331,0.010162721,0.010240258,0.01192614
TMT,Turkmenistani Manat,0.061145676,0.063758388,0.053712777,0.052003653,0.046054036,0.045120383,0.052842153,0.051504824
GGP,Guernsey Pound,0.013269725,0.014330054,0.012140682,0.011222328,0.009757331,0.010162721,0.010240258,0.01192614
IMP,Isle of Man Pound,0.013269725,0.014330054,0.012140682,0.011222328,0.009757331,0.010162721,0.010240258,0.01192614
TVD,Tuvaluan Dollar,0.023910897,0.021864117,0.018463471,0.017549688,0.018129742,0.019382256,0.02067478,0.020427074
CLF,CLF,0.000468569,0.000488591,0.00041161,0.000398512,0.000352919,0.000345765,0.000329735,0.00032139
